Country/Other,Total Cases,Total Deaths,Total Recovered,Active Cases,Tot Cases/ 1M pop,Deaths/ 1M pop,Total Tests,Tests/ 1M pop,Population
Canada,4392747,47468,4291683.0,53596.0,114429,1237,66191953.0,1724269.0,38388419
Caribbean Netherlands,11426,36,10476.0,914.0,428791,1351,30126.0,1130559.0,26647
Cayman Islands,31194,36,8553.0,22605.0,463665,535,222773.0,3311280.0,67277
Chad,7641,194,4874.0,2573.0,439,11,191341.0,10988.0,17413580
Channel Islands,95592,207,94963.0,422.0,541711,1173,1252808.0,7099551.0,176463
Chile,4909878,62377,4834428.0,13073.0,255056,3240,46998495.0,2441456.0,19250195
China,307802,5233,271159.0,31410.0,213,4,160000000.0,110461.0,1448471400
Colombia,6314769,141895,6140834.0,32040.0,122586,2755,36875818.0,715858.0,51512762
Comoros,8941,161,8751.0,29.0,9853,177,,,907419
Congo,25375,386,24006.0,983.0,4377,67,347815.0,59991.0,5797805
Cook Islands,6389,1,6384.0,4.0,363610,57,19690.0,1120596.0,17571
Costa Rica,1143597,9031,860711.0,273855.0,220671,1743,4659757.0,899158.0,5182354
Croatia,1253067,17298,1234050.0,1719.0,308691,4261,5356463.0,1319558.0,4059286
Cuba,1111368,8530,1102754.0,84.0,98302,754,14184566.0,1254644.0,11305652
Curaçao,45559,295,44720.0,544.0,275233,1782,496693.0,3000640.0,165529
Cyprus,614237,1226,601436.0,11575.0,502079,1002,9640118.0,7879860.0,1223387
Czechia,4171174,41799,4126951.0,2424.0,388494,3893,56599215.0,5271524.0,10736784
DPRK,4772813,74,4772739.0,0.0,183636,3,,,25990679
DRC,93837,1452,83590.0,8795.0,985,15,846704.0,8890.0,95240792
Denmark,3145455,7513,3133596.0,4346.0,539071,1288,128785585.0,22071412.0,5834950
Djibouti,15690,189,15427.0,74.0,15441,186,305941.0,301094.0,1016097
Dominica,15760,74,15673.0,13.0,217848,1023,229344.0,3170187.0,72344
Dominican Republic,649150,4384,643673.0,1093.0,58713,397,3730446.0,337402.0,11056370
Ecuador,1009958,35940,973448.0,570.0,55758,1984,3082403.0,170173.0,18113361
Egypt,515645,24613,442182.0,48850.0,4857,232,3693367.0,34792.0,106156692
El Salvador,201785,4230,179410.0,18145.0,30805,646,2610114.0,398467.0,6550389
Equatorial Guinea,17182,183,16879.0,120.0,11480,122,365697.0,244342.0,1496662
Eritrea,10189,103,10086.0,0.0,2782,28,23693.0,6470.0,3662244
Estonia,608759,2781,524990.0,80988.0,460515,2104,3600319.0,2723573.0,1321910
Eswatini,73770,1422,72255.0,93.0,62263,1200,1047886.0,884429.0,1184817
Ethiopia,494462,7572,472277.0,14613.0,4093,63,5356817.0,44340.0,120812698
Faeroe Islands,34658,28,,,703959,569,778000.0,15802409.0,49233
Fiji,68375,878,66440.0,1057.0,75181,965,666164.0,732478.0,909466
Finland,1394254,7265,1354906.0,32083.0,250993,1308,11786151.0,2121735.0,5554960
France,37639624,158639,36809443.0,671542.0,573910,2419,271490188.0,4139547.0,65584518
French Guiana,95451,411,11254.0,83786.0,303821,1308,651257.0,2072951.0,314169
French Polynesia,76827,649,,,270361,2284,,,284164
Gabon,48972,306,48491.0,175.0,21004,131,1620866.0,695193.0,2331533
Gambia,12586,372,12189.0,25.0,4919,145,155686.0,60851.0,2558482
Georgia,1805698,16881,1776548.0,12269.0,454980,4253,16920079.0,4263340.0,3968738
Germany,36373164,157495,35658800.0,556869.0,433615,1878,122332384.0,1458359.0,83883596
Ghana,171009,1461,169527.0,21.0,5279,45,2521749.0,77843.0,32395450
Gibraltar,20184,110,16579.0,3495.0,598861,3264,534283.0,15852213.0,33704
Greece,5360506,34178,5280021.0,46307.0,519598,3313,99637289.0,9657923.0,10316637
Greenland,11971,21,2761.0,9189.0,210117,369,164926.0,2894810.0,56973
Grenada,19613,237,19358.0,18.0,172840,2089,182981.0,1612523.0,113475
Guadeloupe,197105,993,,,493016,2484,938039.0,2346306.0,399794
Guatemala,1153644,19946,1130358.0,3340.0,62077,1073,6285146.0,338201.0,18584039
Guinea,38153,464,37218.0,471.0,2752,33,660107.0,47607.0,13865691
Guinea-Bissau,8848,176,8642.0,30.0,4288,85,145231.0,70385.0,2063367
Guyana,71573,1285,70175.0,113.0,90137,1618,705349.0,888299.0,794045
Haiti,33846,860,32871.0,115.0,2898,74,132422.0,11337.0,11680283
Honduras,457676,11043,,,44777,1080,1559792.0,152603.0,10221247
Hong Kong,2094095,10692,1859394.0,224009.0,275383,1406,70602097.0,9284498.0,7604299
Hungary,2162093,48245,2098240.0,15608.0,225071,5022,11394556.0,1186160.0,9606259
Iceland,207171,219,,,599812,634,1996384.0,5780036.0,345393
India,44672633,530612,44135687.0,6334.0,31759,377,905301860.0,643595.0,1406631776
Indonesia,6650244,159676,6429987.0,60581.0,23825,572,112010136.0,401277.0,279134505
Iran,7559589,144633,7335072.0,79884.0,87879,1681,54420785.0,632632.0,86022837
Iraq,2463021,25363,2436695.0,963.0,58414,602,19448292.0,461243.0,42164965
Ireland,1678827,8131,1665113.0,5583.0,334414,1620,12836506.0,2556972.0,5020199
Isle of Man,38008,116,,,443335,1353,150753.0,1758422.0,85732
Israel,4715096,11828,4692524.0,10744.0,505586,1268,41373364.0,4436346.0,9326000
Italy,24260660,181098,23587105.0,492457.0,402581,3005,257057363.0,4265608.0,60262770
Ivory Coast,87885,830,87042.0,13.0,3168,30,1652227.0,59556.0,27742298
Jamaica,151931,3320,99392.0,49219.0,50897,1112,1183986.0,396633.0,2985094
Japan,24470557,49178,20679234.0,3742145.0,194853,392,80788710.0,643300.0,125584838
Jordan,1746997,14122,1731007.0,1868.0,169597,1371,17201885.0,1669945.0,10300869
Kazakhstan,1396335,13693,1380356.0,2286.0,72707,713,11575012.0,602707.0,19205043
Kenya,341460,5684,335012.0,764.0,6074,101,3939702.0,70082.0,56215221
Kiribati,3430,13,2703.0,714.0,27792,105,,,123419
Kuwait,662672,2570,659992.0,110.0,151284,587,8441451.0,1927128.0,4380326
Kyrgyzstan,206511,2991,196406.0,7114.0,30693,445,1907195.0,283460.0,6728271
Laos,216611,758,,,28955,101,1233207.0,164845.0,7481023
Latvia,961627,6086,950319.0,5222.0,520125,3292,7746372.0,4189862.0,1848837
Lebanon,1220385,10734,1087587.0,122064.0,182560,1606,4795578.0,717380.0,6684849
Lesotho,34490,706,25980.0,7804.0,15852,324,431221.0,198199.0,2175699
Liberia,8014,294,7705.0,15.0,1511,55,139824.0,26356.0,5305117
Libya,507078,6437,500598.0,43.0,72021,914,2483318.0,352707.0,7040745
Liechtenstein,20874,87,20729.0,58.0,543778,2266,102174.0,2661682.0,38387
Lithuania,1274862,9431,1260489.0,4942.0,478964,3543,10252746.0,3851942.0,2661708
Luxembourg,297757,1133,288991.0,7633.0,463528,1764,4412567.0,6869188.0,642371
Madagascar,67054,1411,65379.0,264.0,2298,48,517050.0,17720.0,29178077
Malawi,88073,2685,85008.0,380.0,4364,133,623272.0,30884.0,20180839
Malaysia,4984272,36648,4920616.0,27008.0,150214,1104,66302492.0,1998202.0,33181072
Maldives,185584,311,163687.0,21586.0,343048,575,2213831.0,4092223.0,540985
Mali,32757,742,31938.0,77.0,1525,35,777005.0,36184.0,21473764
Malta,115769,809,114389.0,571.0,260722,1822,2089278.0,4705231.0,444033
Marshall Islands,15541,17,15390.0,134.0,258771,283,,,60057
Martinique,224468,1071,,,600042,2863,828928.0,2215870.0,374087
Mauritania,63419,997,62416.0,6.0,12937,203,1007203.0,205469.0,4901981
Mauritius,41042,1032,39278.0,732.0,32197,810,358675.0,281374.0,1274727
Mayotte,40612,187,,,141872,653,176919.0,618038.0,286259
Mexico,7125176,330495,6395789.0,398892.0,54158,2512,18716808.0,142265.0,131562772
Micronesia,22203,55,,,188979,468,21923.0,186596.0,117489
Moldova,594754,11913,504142.0,78699.0,148201,2968,3216305.0,801437.0,4013171
Monaco,15339,63,15158.0,118.0,385567,1584,78646.0,1976875.0,39783
Mongolia,991824,2179,984420.0,5225.0,293606,645,4030048.0,1193000.0,3378078
Montenegro,283644,2789,280663.0,192.0,451698,4441,2663357.0,4241352.0,627950
Morocco,1268396,16284,1250874.0,1238.0,33580,431,12745914.0,337437.0,37772756
Mozambique,230590,2224,228310.0,56.0,6969,67,1371127.0,41437.0,33089461
Myanmar,633157,19488,607615.0,6054.0,11465,353,9634579.0,174454.0,55227143
Namibia,169946,4080,165826.0,40.0,64523,1549,1062663.0,403460.0,2633874
Nauru,4621,1,4609.0,11.0,423828,92,20509.0,1881042.0,10903
Nepal,1000878,12019,988596.0,263.0,33114,398,5975949.0,197712.0,30225582
Netherlands,8539297,22907,8486943.0,29447.0,496141,1331,25984435.0,1509718.0,17211447
New Caledonia,75122,314,74228.0,580.0,258227,1079,98964.0,340182.0,290915
New Zealand,1918070,3239,1891853.0,22978.0,391586,661,7544063.0,1540170.0,4898203
Nicaragua,18491,225,4225.0,14041.0,2728,33,,,6779100
Niger,9931,312,8890.0,729.0,381,12,254538.0,9759.0,26083660
Nigeria,266283,3155,259640.0,3488.0,1229,15,5441162.0,25104.0,216746934
North Macedonia,344710,9568,334335.0,807.0,165622,4597,2141032.0,1028697.0,2081304
Norway,1468419,4325,1461988.0,2106.0,266434,785,11002430.0,1996315.0,5511370
Oman,399027,4260,384669.0,10098.0,74949,800,25000000.0,4695724.0,5323993
Pakistan,1575097,30630,1538689.0,5778.0,6863,133,30570862.0,133213.0,229488994
Palau,5684,7,5576.0,101.0,311742,384,66613.0,3653431.0,18233
Palestine,620816,5404,614962.0,450.0,116137,1011,3078533.0,575907.0,5345541
Panama,995726,8519,983705.0,3502.0,223911,1916,7221986.0,1624026.0,4446964
Papua New Guinea,45819,668,43982.0,1169.0,4931,72,249149.0,26813.0,9292169
Paraguay,718164,19621,698317.0,226.0,98300,2686,2657506.0,363751.0,7305843
Peru,4223951,217353,3955485.0,51113.0,125399,6453,36351628.0,1079189.0,33684208
Philippines,4033682,64595,3950606.0,18481.0,35852,574,33636360.0,298966.0,112508994
Poland,6351315,118306,5335940.0,897069.0,168292,3135,37779352.0,1001048.0,37739785
Portugal,5542265,25450,5495354.0,21461.0,546544,2510,45571009.0,4493930.0,10140570
Qatar,477680,685,475913.0,1082.0,160300,230,4065369.0,1364257.0,2979915
Romania,3294447,67253,3224095.0,3099.0,173106,3534,25685360.0,1349635.0,19031335
Russia,21574764,391840,20982028.0,200896.0,147969,2687,273400000.0,1875095.0,145805947
Rwanda,132643,1467,131112.0,64.0,9753,108,5882479.0,432520.0,13600464
Réunion,476088,902,418572.0,56614.0,524291,993,1603660.0,1766027.0,908061
S. Korea,26937516,30369,25951325.0,955822.0,524792,592,15804065.0,307892.0,51329899
Saint Kitts and Nevis,6552,46,6482.0,24.0,121624,854,124861.0,2317778.0,53871
Saint Lucia,29550,404,29095.0,51.0,159632,2182,210983.0,1139752.0,185113
Saint Martin,12034,63,1399.0,10572.0,302895,1586,112382.0,2828643.0,39730
Saint Pierre Miquelon,3248,1,2449.0,798.0,563987,174,25186.0,4373329.0,5759
Samoa,15967,29,1605.0,14333.0,78951,143,187397.0,926612.0,202239
San Marino,22091,119,21767.0,205.0,648115,3491,157634.0,4624732.0,34085
Sao Tome and Principe,6278,77,6198.0,3.0,27574,338,29036.0,127530.0,227679
Saudi Arabia,825436,9458,812936.0,3042.0,23028,264,44800113.0,1249832.0,35844909
Senegal,88859,1968,86858.0,33.0,5033,111,1146543.0,64946.0,17653671
Serbia,2421591,17371,2393589.0,10631.0,279855,2008,11598533.0,1340404.0,8653016
Seychelles,49380,171,48626.0,583.0,496651,1720,,,99426
Sierra Leone,7758,126,,,934,15,259958.0,31296.0,8306436
Singapore,2162963,1702,2086941.0,74320.0,363918,286,24622510.0,4142731.0,5943546
Sint Maarten,10931,89,10833.0,9.0,248624,2024,62056.0,1411454.0,43966
Slovakia,1855664,20729,1833644.0,1291.0,339853,3796,7352483.0,1346561.0,5460193
Slovenia,1254384,6928,1235394.0,12062.0,603640,3334,2783155.0,1339321.0,2078034
Solomon Islands,24575,153,,,34077,212,,,721159
Somalia,27254,1361,13182.0,12711.0,1618,81,400466.0,23778.0,16841795
South Africa,4040712,102428,3912506.0,25778.0,66507,1686,26473049.0,435726.0,60756135
South Sudan,18348,138,18115.0,95.0,1579,12,410280.0,35313.0,11618511
Spain,13595504,115901,13382293.0,97310.0,291005,2481,471036328.0,10082298.0,46719142
Sri Lanka,671642,16800,654791.0,51.0,31129,779,6486117.0,300619.0,21575842
St. Barth,5336,6,,,536551,603,78646.0,7908095.0,9945
St. Vincent Grenadines,7112,115,6641.0,356.0,63756,1031,100856.0,904125.0,111551
Sudan,63637,4990,57924.0,723.0,1384,108,562941.0,12240.0,45992020
Suriname,81228,1392,,,136099,2332,239603.0,401459.0,596831
Sweden,2626686,21002,2591697.0,13987.0,257040,2055,19133584.0,1872359.0,10218971
Switzerland,4298016,14302,4207543.0,76171.0,489878,1630,22932989.0,2613852.0,8773637
Syria,57393,3163,54223.0,7.0,2964,163,146269.0,7553.0,19364809
Taiwan,8267720,14235,7889868.0,363617.0,346095,596,28466689.0,1191644.0,23888595
Tajikistan,17786,125,17264.0,397.0,1786,13,,,9957464
Tanzania,40471,845,,,639,13,,,63298550
Thailand,4702330,33106,4649509.0,19715.0,67101,472,17270775.0,246450.0,70078203
Timor-Leste,23337,138,23102.0,97.0,17041,101,278529.0,203391.0,1369429
Togo,39326,290,39028.0,8.0,4530,33,800947.0,92266.0,8680837
Tonga,16182,12,15638.0,532.0,150182,111,535009.0,4965327.0,107749
Trinidad and Tobago,185237,4266,180767.0,204.0,131693,3033,865849.0,615568.0,1406585
Tunisia,1146991,29268,,,95212,2430,4974456.0,412933.0,12046656
Turkey,17005537,101400,16897489.0,6648.0,198751,1185,162743369.0,1902052.0,85561976
Turks and Caicos,6446,36,6392.0,18.0,162200,906,550241.0,13845676.0,39741
UAE,1043931,2348,1023253.0,18330.0,103546,233,197119778.0,19552071.0,10081785
UK,24000101,196821,23724450.0,78830.0,350377,2873,522526476.0,7628357.0,68497907
USA,100458989,1104751,97984219.0,1370019.0,300052,3300,1139039775.0,3402096.0,334805269
Uganda,169663,3630,100431.0,65602.0,3503,75,3012408.0,62198.0,48432863
Ukraine,5336293,110505,5207607.0,18181.0,123548,2558,32603805.0,754855.0,43192122
Uruguay,992887,7530,984476.0,881.0,284005,2154,6114822.0,1749083.0,3496016
Uzbekistan,245858,1637,241486.0,2735.0,7151,48,1377915.0,40077.0,34382084
Vanuatu,11952,14,11937.0,1.0,37137,44,24976.0,77606.0,321832
Venezuela,547301,5828,540403.0,1070.0,18700,199,3359014.0,114771.0,29266991
Vietnam,11514532,43170,10608112.0,863250.0,116363,436,85826548.0,867342.0,98953541
Yemen,11945,2159,9124.0,662.0,383,69,329592.0,10579.0,31154867
Zambia,333721,4019,329681.0,21.0,17140,206,3761408.0,193188.0,19470234
Zimbabwe,257893,5606,251904.0,383.0,16821,366,2525756.0,164744.0,15331428
